Record.Number,Scientific.Name,Observation.Date,Verified.Date,Specimen.Type,Organism.Type,Status,Region(s),Lat/Long,Longitude,Precision,Location.Notes,Observation.Notes,Submitter,Data.Source,Partner.Project,Updated.Date
435649,Battus philenor,09/27/2008,10/24/2008,Sighting,butterfly,Resident,Madison CountyAlabamaUnited States,34.710499,-86.6334,point record,Huntsville Botanical Gardens,1,vitaly charny (11),Vitaly Charny,,08/31/2010 17:54:03
437458,Battus philenor,05/30/1939,12/11/2008,Photograph,butterfly,Unknown,Jefferson CountyPennsylvaniaUnited States,40.614464,-80.869606,point record,None," Athens, PA Geocoded Accuracy: GEOMETRIC_CENTER",legacy.reporter (53),McGee,,08/31/2010 18:10:15
437659,Battus philenor,10/19/2008,01/09/2009,Sighting,butterfly,Resident,Perry CountyAlabamaUnited States,32.691898,-87.238297,point record,Perry Lakes SP,1,vitaly charny (11),Vitaly Charny,,08/31/2010 18:12:03
439050,Battus philenor,08/23/2008,01/28/2009,Photograph,butterfly,Unknown,Wayne CountyMichiganUnited States,42.394184,-83.295647,point record,Redford,,legacy.reporter (53),Kathy LeClaire,,08/31/2010 18:24:37
452649,Battus philenor,08/25/2008,03/13/2009,Photograph,butterfly,Resident,Crittenden CountyArkansasUnited States,35.212742,-90.217247,point record,"Marion, Carriage St.", Geocoded Accuracy: GEOMETRIC_CENTER,legacy.reporter (53),Paul Ford,,08/31/2010 20:36:17
452841,Battus philenor,09/06/2008,03/18/2009,Photograph,butterfly,Resident,United StatesIndianaScott County,38.67141,-85.727577,point record,East Lovers Lane, Field Geocoded Accuracy: GEOMETRIC_CENTER,Howell_Curtis (1727),Howell Curtis,,07/12/2011 14:47:07
452900,Battus philenor,08/23/2008,03/18/2009,Photograph,butterfly,Unknown,United StatesMissouriOzark County,36.682999,-92.526001,point record,"NW of Willhoit, section 8",,ozcomomoths (1751),Rhonda Herndon,,05/09/2011 12:46:54
454487,Battus philenor,03/21/2009,04/09/2009,Sighting,butterfly,Resident,Shelby CountyAlabamaUnited States,33.310001,-86.839996,point record,Oak Mountain SP,1,vitaly charny (11),Vitaly Charny,,08/31/2010 20:53:49
454498,Battus philenor,03/22/2009,04/09/2009,Sighting,butterfly,Resident,Perry CountyAlabamaUnited States,32.689999,-87.239998,point record,Perry Lakes / Barton's Beach,5,vitaly charny (11),Vitaly Charny,,08/31/2010 20:53:55
454527,Battus philenor,06/13/2003,04/09/2009,Sighting,butterfly,Resident,Blount CountyAlabamaUnited States,33.990002,-86.529999,point record,Logan farm near Rosa,,legacy.reporter (53),Paulette Haywood,,08/31/2010 20:54:11
455629,Battus philenor,04/26/2009,05/18/2009,Sighting,butterfly,Resident,Perry CountyAlabamaUnited States,32.691898,-87.238297,point record,Perry Lakes / Barton's Beach,5,vitaly charny (11),Vitaly Charny,,08/31/2010 21:04:49
457282,Battus philenor,06/08/2008,07/06/2009,Photograph,butterfly,Resident,Morgan CountyGeorgiaUnited States,33.537273,-83.627724,point record,Reese Rd, Geocoded Accuracy: GEOMETRIC_CENTER,legacy.reporter (53),Jim Flynn,,08/31/2010 21:20:36
461586,Battus philenor,05/14/2009,07/24/2009,Photograph,butterfly,Unknown,Dallas CountyTexasUnited States,32.84,-96.769997,point record,NE Dallas,,legacy.reporter (53),Barbara Uskovich,,09/01/2010 13:03:29
462136,Battus philenor,04/23/1970,08/10/2009,Specimen,butterfly,Resident,Tuolumne CountyCaliforniaUnited States,37.843575,-120.261047,point record,Deer Creek (S of Groveland),"2 mi. from San Pedro Reservoir, ssp. hirsuta Geocoded Accuracy: GEOMETRIC_CENTER",legacy.reporter (53),James R. Mori,,09/01/2010 13:08:45
462137,Battus philenor,03/26/1978,08/10/2009,Specimen,butterfly,Resident,Tuolumne CountyCaliforniaUnited States,37.843575,-120.261047,point record,Deer Creek (S of Groveland),Also taken 06/12/1989 Geocoded Accuracy: GEOMETRIC_CENTER,legacy.reporter (53),James R. Mori,,09/01/2010 13:08:46
462138,Battus philenor,05/19/1999,08/10/2009,Specimen,butterfly,Resident,Tuolumne CountyCaliforniaUnited States,38.039413,-120.217285,point record,"Phoenix Lake, 6 mi. E of Sonora", Subspecies hirsuta Geocoded Accuracy: GEOMETRIC_CENTER,legacy.reporter (53),James R. Mori,,09/01/2010 13:08:46
462149,Battus philenor,07/18/2009,08/10/2009,Photograph,butterfly,Unknown,Chambers CountyTexasUnited States,29.567186,-94.53289,point record,Anahuac NWR,,legacy.reporter (53),Jeffrey D Mohamed,,09/01/2010 13:08:53
462695,Battus philenor,04/22/1996,08/17/2009,Specimen,butterfly,Resident,Placer CountyCaliforniaUnited States,38.660797,-121.347031,point record,"Auburn, American River", Subspecies hirsuta Geocoded Accuracy: GEOMETRIC_CENTER,Ken Davenport (16),Ken Davenport,,09/01/2010 13:14:34
462696,Battus philenor,07/18/1974,08/17/2009,Specimen,butterfly,Resident,Placer CountyCaliforniaUnited States,38.660797,-121.347031,point record,"Auburn, American River", Geocoded Accuracy: GEOMETRIC_CENTER,Ken Davenport (16),Ken Davenport,,09/01/2010 13:14:34
462697,Battus philenor,05/21/1994,08/17/2009,Specimen,butterfly,Resident,Placer CountyCaliforniaUnited States,38.660797,-121.347031,point record,"Auburn, American River", Most very worn Geocoded Accuracy: GEOMETRIC_CENTER,Ken Davenport (16),Ken Davenport,,09/01/2010 13:14:35
466745,Battus philenor,08/08/2009,10/13/2009,Sighting,butterfly,Resident,Perry CountyAlabamaUnited States,32.689999,-87.239998,point record,Perry Lakes / Barton's Beach,3,vitaly charny (11),Vitaly Charny,,09/01/2010 13:55:50
467928,Battus philenor,09/06/2009,10/16/2009,Photograph,butterfly,Unknown,Howard CountyMissouriUnited States,39.145741,-92.538002,point record,Fayette,,legacy.reporter (53),Kathy Brady,,09/01/2010 14:07:29
469179,Battus philenor,09/24/2009,10/19/2009,Photograph,butterfly,Unknown,United StatesTennesseeGrainger County,36.189342,-83.52533,point record,Burkhart Rd., Geocoded Accuracy: GEOMETRIC_CENTER,legacy.reporter (53),Harold Howell,,04/15/2011 15:40:56
477163,Battus philenor,09/07/2009,01/05/2010,Photograph,butterfly,Resident,Perry CountyAlabamaUnited States,32.691898,-87.238297,point record,Perry Lakes / Barton's Beach,5,vitaly charny (11),Vitaly Charny,,09/01/2010 15:42:37
478618,Battus philenor,06/27/1965,01/05/2010,Specimen,butterfly,Stray,Orange CountyCaliforniaUnited States,33.681316,-117.625061,point record,Santiago Peak 5686', subspecies philenor Geocoded Accuracy: GEOMETRIC_CENTER,legacy.reporter (53),Bruce Griffin,,09/01/2010 18:01:03
480931,Battus philenor,08/06/1974,01/07/2010,Specimen,butterfly,Stray,Solano CountyCaliforniaUnited States,38.291595,-122.023254,point record,Suisun Marsh, subspecies hirsuta Geocoded Accuracy: GEOMETRIC_CENTER,legacy.reporter (53),A. M. Shapiro,,09/01/2010 18:27:22
480932,Battus philenor,09/05/1974,01/07/2010,Specimen,butterfly,Stray,Solano CountyCaliforniaUnited States,38.291595,-122.023254,point record,Suisun Marsh, subspecies hirsuta Geocoded Accuracy: GEOMETRIC_CENTER,legacy.reporter (53),A. M. Shapiro,,09/01/2010 18:27:22
481053,Battus philenor,07/19/2009,01/07/2010,Photograph,butterfly,Unknown,Greene CountyMissouriUnited States,37.117905,-93.41983,point record,Wilson's Creek National Battlefield,,legacy.reporter (53),"Steve Craig, Amy Short",,09/01/2010 18:28:36
484878,Battus philenor,05/29/2010,08/02/2010,Photograph,butterfly,Nonresident,Boulder CountyColoradoUnited States,39.93,-105.269997,point record,Eldorado Mountain Open Space," submitted as ""vagrant""",legacy.reporter (53),"Christian Nunes, Jan Chu, Jean Morgan, Boulder Bird Club",,09/01/2010 19:09:14
484879,Battus philenor,05/29/2010,08/02/2010,Sighting,butterfly,Nonresident,Boulder CountyColoradoUnited States,39.93,-105.279999,point record,Eldorado Mountain Open Space," submitted as ""vagrant""",legacy.reporter (53),"Christian Nunes, Jan Chu, Jean Morgan, Boulder Bird Club",,09/01/2010 19:09:15
485018,Battus philenor,04/18/2010,08/03/2010,Photograph,butterfly,Unknown,Lincoln CountyMissouriUnited States,39,-91.169998,point record,"Hawk Point, 2 mi. N & 3 mi. W of",,legacy.reporter (53),Pat Garner,,09/01/2010 19:10:43
